2025-08-12 13:01:30 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:30 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:31 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:31 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:32 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:32 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:33 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:33 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:34 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:34 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:35 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:35 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:36 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:37 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:37 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:39 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:39 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:41 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:41 | INFO | Page 2: Found 30 listings
2025-08-12 13:01:43 | INFO | Found 12 products with selector: .products-item
2025-08-12 13:01:45 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:45 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:46 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:46 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:47 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:48 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:49 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:49 | INFO | Page 3: Found 12 listings
2025-08-12 13:01:52 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:01:53 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:55 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:55 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:56 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:56 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:57 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:58 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:59 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:59 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:00 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:01 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:01 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:02 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:03 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:03 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:04 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:05 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:05 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:06 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:07 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:07 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:08 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:08 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:09 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:09 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:10 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:11 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:11 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:12 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:12 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:12 | INFO | Page 4: Found 30 listings
2025-08-12 13:02:15 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:02:16 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:17 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:18 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:18 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:20 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
